dms_origst,dms_destst,tons,value,throughput_ratio,delay_index,throughput_ratio_norm,delay_index_norm,severity_score
1,1,3445.230466,4842.665037000001,1.405614249842176,0.12577320625609492,0.02417808951104551,0.03648980734748456,0.02910277664562113
1,12,3.373507,8.514095,2.523811274142902,0.2733570732178709,0.04519127800001496,0.1104910387083876,0.07131118228336401
1,13,127.417676,178.114241,1.3978770182560856,0.19982582322408704,0.02403269124744076,0.07362113446298851,0.04386806853365986
1,20,31.088783,81.970686,2.6366643557581524,0.8707067433292581,0.04731201613829188,0.4100130125615379,0.19239241470759028
1,22,2.33643,7.809009,3.342282456568354,0.18556387308842978,0.0605720104249211,0.06646993363478564,0.06293117970886691
1,28,197.533477,286.070911,1.448214830947364,0.23442611198505858,0.02497864077441768,0.09097034766945548,0.05137532353243281
1,29,2.000893,11.105527,5.550285297614615,0.510121730647266,0.10206485906856691,0.2292091381403228,0.15292257069726928
1,31,18.932988,49.843037,2.632602788318463,1.0298616890265815,0.04723569105396765,0.4898161929581457,0.2242678918156389
1,35,5.314625,9.818129,1.8473794482207118,1.2284377543100407,0.03247975297433392,0.5893858386944579,0.2552421872623835
1,37,12.768173,17.705313,1.386675525151484,0.41775068367259743,0.023822192488412063,0.18289261751417812,0.0874503624987185
1,40,20.843767,57.242278,2.7462539760687212,0.7100601824996412,0.04937142722415188,0.32946190924639807,0.16140762003305037
1,47,55.040908,73.74564000000001,1.339833274552811,0.23312513303741283,0.02294193165808746,0.09031801319630245,0.04989236427337346
1,48,77.723159,250.086398,3.21765611714264,0.7221752528097836,0.05823002890991885,0.335536625537757,0.1691526675610541
2,2,2630.16536,1516.656486,0.5766392140454621,0.24404974712312388,0.008599968391701695,0.09579581311527778,0.04347830628113213
4,4,0.016692,0.080536,4.824826264078601,0.17655164150491254,0.0884320134416963,0.06195103703572425,0.07783962287930747
4,6,155.918333,666.164141,4.272519646551121,0.4134597821796876,0.07805305266323435,0.1807410815728824,0.11912826422709358
4,32,1.553763,7.496158,4.8245182823892705,0.3057293808643918,0.0884262258415253,0.12672310171875023,0.10374497619241527
4,35,2.270803,8.108006,3.5705457496753352,0.32867448211051337,0.06486154035473775,0.138228192219959,0.09420820110082626
4,49,5.338592,25.756132,4.8245177754733835,0.42821178318178277,0.08842621631554835,0.18813800280598073,0.1283109309117213
5,5,3630.252379,5684.844408,1.5659639646227472,0.13621850890053505,0.02719138565440071,0.04172727180439613,0.03300574011439888
5,20,4.533911,7.036374,1.5519435648383924,0.41144389468606685,0.02692791392539696,0.1797302789703756,0.08804885994338843
5,22,6.319563,9.807606,1.551943702436387,0.2528635286965254,0.02692791651114217,0.10021520327495341,0.05624283121666667
5,28,28.646551,44.457832,1.5519436179245454,0.25547204618105684,0.026927914922993373,0.10152316131844179,0.056766013481172745
5,29,27.354803,42.453111,1.5519435837282396,0.25650007422828086,0.02692791428037548,0.10203863325270018,0.056972201869305364
5,40,21.098687,32.743971,1.5519435403729152,0.29342522593941506,0.026927913465641058,0.12055357496729696,0.06437817806630342
5,47,8.611911,13.365198,1.5519433491590893,0.2822573294127169,0.02692790987234571,0.11495378881383575,0.06213826144894173
5,48,63.739181,98.919617,1.5519436467186487,0.3775287448390653,0.026927915464092938,0.16272460685908935,0.0812465920220915
6,1,0.004837,0.257972,53.33305768038039,2.0473433946661155,1.0,1.0,1.0
6,4,6.1e-05,0.000119,0.11900000000000001,0.053,0.0,0.0,0.0
